feedtype,feedurl
system_regions,https://germany.nextbike.net/maps/gbfs/v1/nextbike_de/en/system_regions.json
system_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ng/en/system_information.json
station_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ng/en/station_information.json
station_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ng/en/station_status.json
free_bike_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ng/en/free_bike_status.json
system_hours,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ng/en/system_hours.json
system_regions,https://germany.nextbike.net/maps/gbfs/v1/nextbike_ng/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_dk/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_dk/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_dk/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_dk/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_dk/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_dk/en/system_regions.json
system_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_lr/en/system_information.json
station_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_lr/en/station_information.json
station_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_lr/en/station_status.json
free_bike_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_lr/en/free_bike_status.json
system_hours,https://germany.nextbike.net/maps/gbfs/v1/nextbike_lr/en/system_hours.json
system_regions,https://germany.nextbike.net/maps/gbfs/v1/nextbike_lr/en/system_regions.json
system_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_le/en/system_information.json
station_information,https://germany.nextbike.net/maps/gbfs/v1/nextbike_le/en/station_information.json
station_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_le/en/station_status.json
free_bike_status,https://germany.nextbike.net/maps/gbfs/v1/nextbike_le/en/free_bike_status.json
system_hours,https://germany.nextbike.net/maps/gbfs/v1/nextbike_le/en/system_hours.json
system_regions,https://germany.nextbike.net/maps/gbfs/v1/nextbike_le/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_nb/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_nb/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_nb/en/station_status.json
